calcimycin,d03.633.100.221.173
laryngeal masks,e05.497.578.475
laryngeal masks,e07.700.500.450
laryngeal masks,j01.637.708.560.782.450
satellite communications,l01.178.847.550
telemedicine,h02.403.840
telemedicine,l01.178.847.652
telemedicine,n04.590.374.800
"blood patch, epidural",e02.095.125
"blood patch, epidural",e02.319.267.530.580.300.145
cordocentesis,e01.370.225.998.110.150
cordocentesis,e01.370.225.998.329.543
cordocentesis,e02.800.550.465
cordocentesis,e04.665.150.150
cordocentesis,e04.665.600.543
cordocentesis,e05.200.998.110.150
cordocentesis,e05.200.998.329.543
gastric outlet obstruction,c06.405.748.340
dentin-bonding agents,d25.339.291.300
dentin-bonding agents,j01.637.051.339.291.300
necator americanus,b01.050.500.500.294.400.968.100.550.100
"angioplasty, balloon, laser-assisted",e02.148.050.060.105
"angioplasty, balloon, laser-assisted",e02.148.050.075.080
"angioplasty, balloon, laser-assisted",e02.594.060.080
"angioplasty, balloon, laser-assisted",e04.014.520.060.080
"angioplasty, balloon, laser-assisted",e04.100.814.529.124.060.105
"angioplasty, balloon, laser-assisted",e04.100.814.529.124.075.080
"angioplasty, balloon, laser-assisted",e04.502.382.124.060.105
"angioplasty, balloon, laser-assisted",e04.502.382.124.075.080
"angioplasty, balloon, laser-assisted",e05.157.016.060.105
"angioplasty, balloon, laser-assisted",e05.157.016.075.080
"atherectomy, coronary",e02.148.050.120.125
"atherectomy, coronary",e04.100.376.719.125
"atherectomy, coronary",e04.100.814.529.124.120.125
"atherectomy, coronary",e04.100.814.529.968.060
"atherectomy, coronary",e04.502.382.124.120.125
"atherectomy, coronary",e04.502.382.968.060
"atherectomy, coronary",e04.928.220.520.110
"atherectomy, coronary",e05.157.016.120.125
toxascariasis,c03.335.508.700.100.850
hepatocyte growth factor,d12.644.276.374.420
hepatocyte growth factor,d12.776.467.374.420
hepatocyte growth factor,d23.529.374.420
enterobiasis,c03.335.508.700.550.550.375
proto-oncogene proteins c-mos,d08.811.913.696.620.682.700.559.800
proto-oncogene proteins c-mos,d12.644.360.400.800
proto-oncogene proteins c-mos,d12.776.476.400.800
proto-oncogene proteins c-mos,d12.776.624.664.700.187
oncogene proteins v-mos,d12.776.624.664.520.750.900
oncogene proteins v-mos,d12.776.964.700.750.900
oncogene proteins v-mos,d12.776.964.775.750.900
orbit evisceration,e04.540.760
eye evisceration,e04.540.431
"suicide, assisted",e02.760.905.850
"suicide, assisted",f01.145.126.980.875.300
"suicide, assisted",i01.880.735.856.300
"suicide, assisted",n02.421.585.905.850
mitochondrial encephalomyopathies,c05.651.460.620
mitochondrial encephalomyopathies,c10.228.140.163.540
mitochondrial encephalomyopathies,c10.668.491.500.500
mitochondrial encephalomyopathies,c18.452.132.540
mitochondrial encephalomyopathies,c18.452.660.560.620
"genes, helminth",g05.360.340.024.340.310
"genes, helminth",g05.360.340.337.500
paclitaxel,d02.455.426.392.368.242.888.777
paclitaxel,d02.455.849.291.850.777
mitochondrial myopathies,c05.651.460
mitochondrial myopathies,c10.668.491.500
mitochondrial myopathies,c18.452.660.560
melas syndrome,c05.651.460.620.520
melas syndrome,c10.228.140.163.100.535
melas syndrome,c10.228.140.300.275.500
melas syndrome,c10.668.491.500.500.500
melas syndrome,c14.907.253.329.500
melas syndrome,c16.320.565.189.535
melas syndrome,c18.452.132.100.535
melas syndrome,c18.452.648.189.535
melas syndrome,c18.452.660.560.620.520
complement factor h,d12.776.124.486.274.920.325.200
complement factor h,d12.776.124.790.223.200
complement factor h,d12.776.377.715.182.200
merrf syndrome,c05.651.460.620.530
merrf syndrome,c10.228.140.163.100.545
merrf syndrome,c10.228.140.490.375.130.650.700
merrf syndrome,c10.228.140.490.493.063.650.700
merrf syndrome,c10.668.491.500.500.550
merrf syndrome,c16.320.565.189.545
merrf syndrome,c18.452.132.100.545
merrf syndrome,c18.452.648.189.545
merrf syndrome,c18.452.660.560.620.530
complement factor i,d08.811.277.656.300.760.210
complement factor i,d08.811.277.656.959.350.210
complement factor i,d12.776.124.486.274.920.325.210
foscarnet,d02.241.081.018.677.250
foscarnet,d02.705.429.875.500
"ophthalmoplegia, chronic progressive external",c05.651.460.700
"ophthalmoplegia, chronic progressive external",c10.292.562.750.250
"ophthalmoplegia, chronic progressive external",c10.597.622.447.511
"ophthalmoplegia, chronic progressive external",c10.668.491.500.700
"ophthalmoplegia, chronic progressive external",c11.590.472.250
"ophthalmoplegia, chronic progressive external",c18.452.660.560.700
"ophthalmoplegia, chronic progressive external",c23.888.592.636.447.511
neutron capture therapy,e02.815.722.500
enzyme multiplied immunoassay technique,e05.478.566.350.180
enzyme multiplied immunoassay technique,e05.478.583.400.180
enzyme multiplied immunoassay technique,e05.601.470.350.180
caliciviridae infections,c02.782.160
cd3 complex,d23.050.301.264.894.095
cd3 complex,d23.101.100.894.095
neurofibromatoses,c04.557.580.600.580.590
neurofibromatoses,c04.700.631
neurofibromatoses,c10.562.600
neurofibromatoses,c10.574.500.549
neurofibromatoses,c16.320.400.560
neurofibromatoses,c16.320.700.633
leukemic infiltration,c04.697.645.500
leukemic infiltration,c23.550.727.645.500
acitretin,d02.455.326.271.665.202.495.050
acitretin,d02.455.849.131.495.050
acitretin,d23.767.261.700.050
technetium tc 99m sestamibi,d02.626.872
technetium tc 99m sestamibi,d02.691.825.937
ramipril,d03.633.100.893
medroxyprogesterone acetate,d04.210.500.745.745.654.829.395.700.500
dimaprit,d02.886.904.282
dimaprit,d02.948.898.282
"receptor-cd3 complex, antigen, t-cell",d12.776.543.750.705.816.824.800
"receptor-cd3 complex, antigen, t-cell",d23.050.301.264.894.095.800
"receptor-cd3 complex, antigen, t-cell",d23.101.100.894.095.800
glycosylphosphatidylinositols,d09.400.410.475
glycosylphosphatidylinositols,d10.390.475
glycosylphosphatidylinositols,d10.570.755.375.760.400.942.250
siderophores,d27.505.519.914.500.410.750
siderophores,d27.720.832.500.410.750
technetium tc 99m mertiatide,d02.691.825.775
technetium tc 99m mertiatide,d12.644.456.805
procaterol,d02.033.100.291.630
procaterol,d02.092.063.291.647
procaterol,d03.633.100.810.350.700
dental prosthesis,e06.780.346
dental prosthesis,e07.695.190
dental prosthesis design,e06.780.346.625
dental prosthesis design,e06.912.145
dental prosthesis retention,e06.780.346.687
dental prosthesis repair,e06.780.346.656
dental prosthesis repair,e06.912.160
lipoprotein(a),d10.532.350
lipoprotein(a),d12.776.521.400
craniomandibular disorders,c05.500.607.221
craniomandibular disorders,c05.651.243
craniomandibular disorders,c07.320.610.291
celiprolol,d02.033.100.624.698.268
celiprolol,d02.033.755.624.698.268
celiprolol,d02.092.063.624.698.268
celiprolol,d02.455.426.559.389.703.241
celiprolol,d02.948.681.241
goserelin,d06.472.699.327.740.320.340
goserelin,d12.644.400.400.740.320.340
goserelin,d12.644.456.460.315
goserelin,d12.644.548.365.740.320.340
goserelin,d12.776.631.650.405.740.320.340
nafarelin,d06.472.699.327.740.320.580
nafarelin,d12.644.400.400.740.320.580
nafarelin,d12.644.456.460.600
nafarelin,d12.644.548.365.740.320.580
nafarelin,d12.776.631.650.405.740.320.580
isradipine,d03.383.725.203.310
friction,g01.374.618
drug approval,e05.290.250
drug approval,e05.337.300
drug approval,i01.880.604.605.250.250
air bags,e07.700.100
air bags,j01.637.708.100
selenocysteine,d02.712.600
selenocysteine,d02.886.030.230.700
selenocysteine,d12.125.166.230.700
condoms,e07.190.270.150
cost of illness,n03.219.151.165
cost of illness,n05.715.360.300.800.438.375.182
cost of illness,n06.850.520.308.980.438.475.046
tick-borne diseases,c01.252.400.825
tick-borne diseases,c02.081.885
tick-borne diseases,c03.752.875
neonatal nursing,h02.478.676.390.600
neonatal nursing,h02.478.676.631.600
neonatal nursing,n02.421.533.460.600
neonatal nursing,n02.421.533.691.600
polymyositis,c05.651.594.819
polymyositis,c10.668.491.562.575
polysomnography,e01.370.520.625
ventriculoperitoneal shunt,e04.035.188.850
ventriculoperitoneal shunt,e04.525.170.850
pain threshold,f02.463.593.710.560
pain threshold,f02.830.816.444.700
pain threshold,g11.561.790.444.700
"orthodontic appliances, functional",e06.658.453.560
menogaril,d02.455.426.559.847.562.050.200.650.500
menogaril,d04.615.562.050.200.650.500
menogaril,d09.408.051.059.200.650.500
clarithromycin,d02.540.576.500.992.100
doxazosin,d03.633.100.786.750.200
protein s,d12.776.124.670
protein s,d12.776.395.642
protein s,d23.113.725
ondansetron,d03.383.129.308.690
ondansetron,d03.633.100.473.144.500
ondansetron,d03.633.300.148.500
bisoprolol,d02.033.100.624.698.085
bisoprolol,d02.033.755.624.698.085
bisoprolol,d02.092.063.624.698.085
rod opsins,d12.776.306.466.500
rod opsins,d23.767.930.750.500
pipecuronium,d03.383.606.760
ca(2+) mg(2+)-atpase,d08.811.277.040.025.095
annexins,d12.776.157.125.050
annexin a5,d12.776.157.125.050.100
annexin a1,d12.776.157.125.050.050
annexin a2,d12.776.157.125.050.060
xamoterol,d02.033.100.624.698.855
xamoterol,d02.033.755.624.698.855
xamoterol,d02.092.063.624.698.855
xamoterol,d03.383.533.640.950
etodolac,d03.066.288.200
etodolac,d03.633.100.473.404.200
annexin a7,d12.776.157.125.050.120
amlodipine,d03.383.725.203.065
toremifene,d02.455.426.559.389.150.700.900.900
fenretinide,d02.455.326.271.665.202.495.270
fenretinide,d02.455.426.392.368.367.379.249.700.270
fenretinide,d02.455.849.131.495.270
fenretinide,d23.767.261.700.270
annexin a4,d12.776.157.125.050.080
cilazapril,d03.383.710.100
fadrozole,d02.626.400
fadrozole,d03.383.129.308.270
annexin a6,d12.776.157.125.050.110
annexin a3,d08.811.277.352.640.050
annexin a3,d12.776.157.125.050.070
photosensitizing agents,d27.505.954.444.600
photosensitizing agents,d27.505.954.600.710
hiv protease inhibitors,d27.505.519.389.745.420
hiv protease inhibitors,d27.505.954.122.388.077.088.420
"clinical trials, phase i as topic",e05.318.372.250.250.200
"clinical trials, phase i as topic",n05.715.360.330.250.250.200
"clinical trials, phase i as topic",n06.850.520.450.250.250.200
"clinical trials, phase ii as topic",e05.318.372.250.250.210
"clinical trials, phase ii as topic",n05.715.360.330.250.250.210
"clinical trials, phase ii as topic",n06.850.520.450.250.250.210
dihematoporphyrin ether,d03.383.129.578.840.500.462.400.200
dihematoporphyrin ether,d03.633.400.909.500.462.400.200
dihematoporphyrin ether,d04.345.783.500.462.400.200
dihematoporphyrin ether,d23.767.727.462.400.200
hematoporphyrin derivative,d03.383.129.578.840.500.462.400
hematoporphyrin derivative,d03.633.400.909.500.462.400
hematoporphyrin derivative,d04.345.783.500.462.400
hematoporphyrin derivative,d23.767.727.462.400
hepatitis b vaccines,d20.215.894.899.955.400
"clinical trials, phase iii as topic",e05.318.372.250.250.220
"clinical trials, phase iii as topic",n05.715.360.330.250.250.220
"clinical trials, phase iii as topic",n06.850.520.450.250.250.220
"clinical trials, phase iv as topic",e05.318.372.250.250.230
"clinical trials, phase iv as topic",e05.337.800.200
"clinical trials, phase iv as topic",n05.715.360.330.250.250.230
"clinical trials, phase iv as topic",n06.850.520.450.250.250.230
fosinopril,d02.705.629.500
fosinopril,d12.125.072.401.623.374
triptorelin pamoate,d06.472.699.327.740.320.790
triptorelin pamoate,d12.644.400.400.740.320.790
triptorelin pamoate,d12.644.456.460.800
triptorelin pamoate,d12.644.548.365.740.320.790
triptorelin pamoate,d12.776.631.650.405.740.320.790
remoxipride,d02.065.277.796
remoxipride,d02.241.223.100.100.796
remoxipride,d02.241.223.100.150.500
remoxipride,d02.455.426.559.389.127.085.796
remoxipride,d02.455.426.559.389.127.150.500
cetirizine,d03.383.606.515.200
teicoplanin,d09.400.420.405.500
teicoplanin,d12.644.233.352.500
enoximone,d03.383.129.308.253
loratadine,d02.455.426.559.847.181.384.340.500
loratadine,d03.383.621.160.500
loratadine,d04.615.181.384.340.500
sermorelin,d06.472.699.327.740.860.780
sermorelin,d12.644.400.400.740.860.780
sermorelin,d12.644.548.365.740.860.780
sermorelin,d12.776.631.650.405.740.860.780
cladribine,d03.633.100.759.590.138.300.200
cladribine,d03.633.100.759.590.138.325.075
cladribine,d13.570.230.229.075
cladribine,d13.570.583.138.300.200
cladribine,d13.570.583.138.325.075
cladribine,d13.570.800.096.300.200
etanidazole,d02.640.672.250
etanidazole,d03.383.129.308.658.250
"genes, plant",g05.360.340.024.340.393
"genes, plant",g05.360.340.365.500
"genes, insect",g05.360.340.024.340.340
"genes, insect",g05.360.340.357.500
protein-serine-threonine kinases,d08.811.913.696.620.682.700
brucella melitensis,b03.440.400.425.215.500.500
brucella melitensis,b03.660.050.070.100.500
"microscopy, electron, scanning transmission",e01.370.350.515.402.580.480
"microscopy, electron, scanning transmission",e05.595.402.580.480
n-acetylhexosaminyltransferases,d08.811.913.400.100
n-acetylgalactosaminyltransferases,d08.811.913.400.100.200
n-acetylglucosaminyltransferases,d08.811.913.400.100.250
echo-planar imaging,e01.370.350.825.500.200
gene deletion,g05.365.590.762.320
gene deletion,g05.558.800.320
point mutation,g05.365.590.675
zymomonas,b03.440.450.980
zymomonas,b03.660.050.800.990
synchrotrons,e07.710.680.700
cyclotrons,e07.710.680.250
cell wall skeleton,a11.284.183.200
cell wall skeleton,d12.776.097.162
cell wall skeleton,d12.776.395.560.186
hellp syndrome,c13.703.395.186
arabidopsis,b01.650.940.800.575.912.250.157.100
viral nonstructural proteins,d12.776.964.900
cyclic amp response element-binding protein,d12.776.260.108.184
cyclic amp response element-binding protein,d12.776.930.127.184
collagenases,d08.811.277.656.300.480.205
collagenases,d08.811.277.656.675.374.205
spices,g07.203.300.250.725
spices,j02.500.250.725
serotonin receptor agonists,d27.505.519.625.850.800
serotonin receptor agonists,d27.505.696.577.850.800
serotonin uptake inhibitors,d27.505.519.562.437.850
serotonin uptake inhibitors,d27.505.519.625.600.850
serotonin uptake inhibitors,d27.505.519.625.850.900
serotonin uptake inhibitors,d27.505.696.577.600.850
serotonin uptake inhibitors,d27.505.696.577.850.900
protein prenylation,g02.111.660.871.790.600.400
protein prenylation,g02.111.672.500
protein prenylation,g02.111.691.600.400
protein prenylation,g03.734.871.790.600.400
protein prenylation,g03.804.500
protein prenylation,g05.308.670.600.400
interleukin-11,d12.644.276.374.465.511
interleukin-11,d12.776.467.374.465.511
interleukin-11,d23.529.374.465.511
8-hydroxy-2-(di-n-propylamino)tetralin,d02.455.426.559.847.638.960.400
8-hydroxy-2-(di-n-propylamino)tetralin,d04.615.638.960.400
cyproterone acetate,d04.210.500.745.432.219.150
cyproterone acetate,d04.210.500.883.419.150
paroxetine,d03.383.621.600
viral tail proteins,d12.776.964.970.910
diatoms,b01.750.200
quinolinic acid,d03.383.725.822.700
"hypertrophy, left ventricular",c14.280.195.400
"hypertrophy, left ventricular",c23.300.775.250.400
"hypertrophy, right ventricular",c14.280.195.410
"hypertrophy, right ventricular",c23.300.775.250.401
spliceosomes,a11.284.430.106.279.345.850
reactive oxygen species,d01.339.431
reactive oxygen species,d01.650.775
sequence deletion,g05.365.590.762
sequence deletion,g05.558.800
sequence homology,g02.111.810
sequence homology,g05.810
"sequence homology, amino acid",g02.111.810.200
"sequence homology, amino acid",g05.810.200
investigational new drug application,e05.290.250.400
investigational new drug application,e05.337.300.400
zygote intrafallopian transfer,e02.875.800.992
zygote intrafallopian transfer,e05.820.800.992
epikeratophakia,e02.095.147.725.225.225
epikeratophakia,e04.540.825.374.225
epikeratophakia,e04.936.580.225.225
thiobarbituric acid reactive substances,d02.047.700.700
thiobarbituric acid reactive substances,d27.720.470.410.750
rna editing,g02.111.760.250
rna editing,g03.839.250
rna editing,g05.308.700.250
"rna, guide",d13.444.735.790.552.625
plasminogen activator inhibitor 1,d12.644.861.695.500
plasminogen activator inhibitor 1,d12.776.124.125.640
plasminogen activator inhibitor 1,d12.776.872.695.500
plasminogen activator inhibitor 1,d23.119.832.500
plasminogen activator inhibitor 2,d12.644.861.695.520
plasminogen activator inhibitor 2,d12.776.124.125.645
plasminogen activator inhibitor 2,d12.776.872.695.520
plasminogen activator inhibitor 2,d23.119.832.750
prefrontal cortex,a08.186.211.200.885.287.500.270.700
alternative splicing,g02.111.760.700.100
alternative splicing,g03.839.700.100
alternative splicing,g05.308.700.700.100
brachyspira,b03.440.097
brachyspira,b03.440.425.410.220
brachyspira hyodysenteriae,b03.440.097.100
brachyspira hyodysenteriae,b03.440.425.410.220.100
chlorofluorocarbons,d02.455.526.439.220
chlorofluorocarbons,d02.455.526.510.140
in situ hybridization,e01.370.225.500.620.670.325
in situ hybridization,e01.370.225.750.600.670.325
in situ hybridization,e05.200.500.620.670.325
in situ hybridization,e05.200.750.600.670.325
in situ hybridization,e05.393.661.475
"in situ hybridization, fluorescence",e01.370.225.500.620.670.325.350
"in situ hybridization, fluorescence",e01.370.225.750.600.670.325.350
"in situ hybridization, fluorescence",e05.200.500.620.670.325.350
"in situ hybridization, fluorescence",e05.200.750.600.670.325.350
